Año,Mes,Día,Hora,Minuto,Segundo,pm25,calidad_pm25,calidad
2021,01,18,11,00,00,10.9090,1,1,
2021,01,18,12,00,00,-999.0000,151,1,
2021,01,18,13,00,00,-999.0000,151,1,
2021,01,18,14,00,00,-999.0000,151,1,
2021,01,18,15,00,00,11.1133,1,1,
2021,01,18,16,00,00,12.3332,1,1,
2021,01,18,17,00,00,7.3610,1,1,
2021,01,18,18,00,00,14.5836,1,1,
2021,01,18,19,00,00,14.4731,1,1,
2021,01,18,20,00,00,10.7959,1,1,
2021,01,18,21,00,00,11.9401,1,1,
2021,01,18,22,00,00,13.1040,1,1,
2021,01,18,23,00,00,16.6375,1,1,
2021,01,19,00,00,00,29.6661,1,1,
2021,01,19,01,00,00,37.9319,1,1,
2021,01,19,02,00,00,49.7006,1,1,
2021,01,19,03,00,00,33.1475,1,1,
2021,01,19,04,00,00,37.8546,1,1,
2021,01,19,05,00,00,46.0021,1,1,
2021,01,19,06,00,00,30.5825,1,1,
2021,01,19,07,00,00,35.2702,1,1,
2021,01,19,08,00,00,36.7090,1,1,
2021,01,19,09,00,00,21.5151,1,1,
2021,01,19,10,00,00,7.2109,1,1,
2021,01,19,11,00,00,12.1463,1,1,
2021,01,19,12,00,00,10.9793,1,1,
2021,01,19,13,00,00,11.0213,1,1,
2021,01,19,14,00,00,9.8392,1,1,
2021,01,19,15,00,00,12.3613,1,1,
2021,01,19,16,00,00,9.8720,1,1,
2021,01,19,17,00,00,6.1479,1,1,
2021,01,19,18,00,00,9.7355,1,1,
2021,01,19,19,00,00,4.8268,1,1,
2021,01,19,20,00,00,13.2097,1,1,
2021,01,19,21,00,00,14.3592,1,1,
2021,01,19,22,00,00,16.6933,1,1,
2021,01,19,23,00,00,36.8313,1,1,
2021,01,20,00,00,00,42.6029,1,1,
2021,01,20,01,00,00,34.2735,1,1,
2021,01,20,02,00,00,66.0996,1,1,
2021,01,20,03,00,00,48.3759,1,1,
2021,01,20,04,00,00,40.0841,1,1,
2021,01,20,05,00,00,41.2310,1,1,
2021,01,20,06,00,00,34.2333,1,1,
2021,01,20,07,00,00,36.6089,1,1,
2021,01,20,08,00,00,39.2573,1,1,
2021,01,20,09,00,00,25.2166,1,1,
2021,01,20,10,00,00,19.2926,1,1,
2021,01,20,11,00,00,9.6712,1,1,
2021,01,20,12,00,00,19.5265,1,1,
2021,01,20,13,00,00,10.9845,1,1,
2021,01,20,14,00,00,8.5903,1,1,
2021,01,20,15,00,00,12.2779,1,1,
2021,01,20,16,00,00,4.8962,1,1,
2021,01,20,17,00,00,9.7481,1,1,
2021,01,20,18,00,00,12.1169,1,1,
2021,01,20,19,00,00,12.0347,1,1,
2021,01,20,20,00,00,13.1801,1,1,
2021,01,20,21,00,00,15.5175,1,1,
2021,01,20,22,00,00,23.7956,1,1,
2021,01,20,23,00,00,28.4859,1,1,
2021,01,21,00,00,00,34.3729,1,1,
2021,01,21,01,00,00,27.2319,1,1,
2021,01,21,02,00,00,40.2903,1,1,
2021,01,21,03,00,00,40.2812,1,1,
2021,01,21,04,00,00,41.4920,1,1,
2021,01,21,05,00,00,30.8246,1,1,
2021,01,21,06,00,00,26.1034,1,1,
2021,01,21,07,00,00,35.5575,1,1,
2021,01,21,08,00,00,17.8254,1,1,
2021,01,21,09,00,00,14.2978,1,1,
2021,01,21,10,00,00,16.7950,1,1,
2021,01,21,11,00,00,15.7646,1,1,
2021,01,21,12,00,00,19.5230,1,1,
2021,01,21,13,00,00,14.6769,1,1,
2021,01,21,14,00,00,13.5438,1,1,
2021,01,21,15,00,00,12.3466,1,1,
2021,01,21,16,00,00,11.0976,1,1,
2021,01,21,17,00,00,8.5797,1,1,
2021,01,21,18,00,00,12.1519,1,1,
2021,01,21,19,00,00,9.6475,1,1,
2021,01,21,20,00,00,15.6125,1,1,
2021,01,21,21,00,00,11.9872,1,1,
2021,01,21,22,00,00,11.9550,1,1,
2021,01,21,23,00,00,11.9321,1,1,
2021,01,22,00,00,00,19.0464,1,1,
2021,01,22,01,00,00,33.2287,1,1,
2021,01,22,02,00,00,20.1733,1,1,
2021,01,22,03,00,00,35.6421,1,1,
2021,01,22,04,00,00,19.0047,1,1,
2021,01,22,05,00,00,30.8029,1,1,
2021,01,22,06,00,00,30.7141,1,1,
2021,01,22,07,00,00,35.4377,1,1,
2021,01,22,08,00,00,34.4886,1,1,
2021,01,22,09,00,00,19.1195,1,1,
2021,01,22,10,00,00,18.1570,1,1,
2021,01,22,11,00,00,20.7205,1,1,
2021,01,22,12,00,00,22.0326,1,1,
2021,01,22,13,00,00,15.9748,1,1,
2021,01,22,14,00,00,13.5512,1,1,
2021,01,22,15,00,00,17.2012,1,1,
2021,01,22,16,00,00,11.0447,1,1,
2021,01,22,17,00,00,14.6905,1,1,
2021,01,22,18,00,00,9.7063,1,1,
2021,01,22,19,00,00,12.0818,1,1,
2021,01,22,20,00,00,15.6505,1,1,
2021,01,22,21,00,00,17.9957,1,1,
2021,01,22,22,00,00,15.5491,1,1,
2021,01,22,23,00,00,14.3214,1,1,
2021,01,23,00,00,00,10.7379,1,1,
2021,01,23,01,00,00,19.0027,1,1,
2021,01,23,02,00,00,26.0829,1,1,
2021,01,23,03,00,00,26.0876,1,1,
2021,01,23,04,00,00,28.4559,1,1,
2021,01,23,05,00,00,36.7276,1,1,
2021,01,23,06,00,00,37.8517,1,1,
2021,01,23,07,00,00,37.8238,1,1,
2021,01,23,08,00,00,33.1242,1,1,
2021,01,23,09,00,00,25.0461,1,1,
2021,01,23,10,00,00,20.4200,1,1,
2021,01,23,11,00,00,26.4733,1,1,
2021,01,23,12,00,00,19.4675,1,1,
2021,01,23,13,00,00,24.3665,1,1,
2021,01,23,14,00,00,12.1815,1,1,
2021,01,23,15,00,00,11.0020,1,1,
2021,01,23,16,00,00,15.9153,1,1,
2021,01,23,17,00,00,12.1942,1,1,
2021,01,23,18,00,00,9.7034,1,1,
2021,01,23,19,00,00,12.0476,1,1,
2021,01,23,20,00,00,11.9810,1,1,
2021,01,23,21,00,00,10.7466,1,1,
2021,01,23,22,00,00,28.5910,1,1,
2021,01,23,23,00,00,26.1940,1,1,
2021,01,24,00,00,00,16.6637,1,1,
2021,01,24,01,00,00,27.2643,1,1,
2021,01,24,02,00,00,17.7306,1,1,
2021,01,24,03,00,00,24.8389,1,1,
2021,01,24,04,00,00,41.3634,1,1,
2021,01,24,05,00,00,21.2613,1,1,
2021,01,24,06,00,00,21.2626,1,1,
2021,01,24,07,00,00,23.6204,1,1,
2021,01,24,08,00,00,20.2119,1,1,
2021,01,24,09,00,00,17.8752,1,1,
2021,01,24,10,00,00,15.6157,1,1,
2021,01,24,11,00,00,10.9151,1,1,
2021,01,24,12,00,00,12.2102,1,1,
2021,01,24,13,00,00,9.7973,1,1,
2021,01,24,14,00,00,8.6012,1,1,
2021,01,24,15,00,00,9.8635,1,1,
2021,01,24,16,00,00,3.7053,1,1,
2021,01,24,17,00,00,4.9106,1,1,
2021,01,24,18,00,00,10.9427,1,1,
2021,01,24,19,00,00,7.2419,1,1,
2021,01,24,20,00,00,8.4144,1,1,
2021,01,24,21,00,00,8.3921,1,1,
2021,01,24,22,00,00,7.1707,1,1,
2021,01,24,23,00,00,7.1589,1,1,
2021,01,25,00,00,00,15.4974,1,1,
2021,01,25,01,00,00,10.7354,1,1,
2021,01,25,02,00,00,10.7347,1,1,
2021,01,25,03,00,00,16.6802,1,1,
2021,01,25,04,00,00,16.6667,1,1,
2021,01,25,05,00,00,16.6512,1,1,
2021,01,25,06,00,00,15.4581,1,1,
2021,01,25,07,00,00,15.4371,1,1,
2021,01,25,08,00,00,16.6475,1,1,
2021,01,25,09,00,00,19.1590,1,1,
2021,01,25,10,00,00,14.4693,1,1,
2021,01,25,11,00,00,15.8187,1,1,
2021,01,25,12,00,00,15.8988,1,1,
2021,01,25,13,00,00,9.8436,1,1,
2021,01,25,14,00,00,7.3997,1,1,
2021,01,25,15,00,00,8.6198,1,1,
2021,01,25,16,00,00,4.9069,1,1,
2021,01,25,17,00,00,4.9130,1,1,
2021,01,25,18,00,00,9.7631,1,1,
2021,01,25,19,00,00,8.4944,1,1,
2021,01,25,20,00,00,9.6635,1,1,
2021,01,25,21,00,00,9.6164,1,1,
